,대피시설명,주소,평시활용 유형,대피시설 면적,경도,위도
1453,한신아파트,서울특별시 도봉구 도봉로180나길41,주차장,62168.0,127.04795,37.685788
1454,서원아파트,서울특별시 도봉구 마들로684-19,주차장,3514.0,127.047272,37.671361
1455,신동아타워상가아파트,서울특별시 도봉구 방학로210,주차장,7363.0,127.028794,37.66217
1457,신동아5단지아파트,서울특별시 도봉구 방학로12길53,주차장,7076.0,127.02866,37.663388
1458,동아청솔아파트,서울특별시 도봉구 노해로69길103,주차장,51798.58,127.048392,37.657179
1459,쌍용아파트,서울특별시 도봉구 마들로551,주차장,35765.45,127.048132,37.659762
1460,56번지삼익세라믹,서울특별시 도봉구 해등로189,주차장,7840.0,127.035195,37.657203
1464,창3동신창아파트지하,서울특별시 도봉구 덕릉로62길13,주차장,5700.0,127.041888,37.640857
1465,현대아파트,서울특별시 도봉구 해등로16길12,주차장,1000.0,127.040699,37.655844
1466,금용아파트,서울특별시 도봉구 우이천로200,주차장,6413.25,127.035747,37.637753
1468,DMC파크뷰자이아파트1단지(단지내 지하주차장 전체),서울특별시 서대문구 가재울미래로 2 (남가좌동 DMC파크뷰자이),주차장,17000.0,126.917856,37.574368
1469,중곡초등학교,서울특별시 중랑구 면목로23길 20,주차장,3000.0,127.083439,37.574892
1473,천연뜨란채 아파트104동 111동 지하주차장,서울특별시 서대문구 독립문로8길 54 (천연동 천연뜨란채),주차장,5000.0,126.958493,37.568792
1474,동부센트레빌 아파트(전동지하),서울특별시 서대문구 독립문로14길 74 (천연동),주차장,1500.0,126.959809,37.566381
1475,무악청구3차 아파트(전동지하),서울특별시 서대문구 통일로 332 (홍제동 홍제청구3차아파트),주차장,2000.0,126.952519,37.580477
1476,동원베네스트 아파트(전동지하),서울특별시 서대문구 홍은중앙로1길 65 (홍은동 동원베네스트아파트),주차장,4000.0,126.944459,37.598483
1479,솔원그린타운,서울특별시 중랑구 동일로91가길 25,주차장,496.0,127.078739,37.584053
1480,신내쌍용아파트,서울특별시 중랑구 봉화산로 130,주차장,19964.0,127.088468,37.603191
1481,건영2차아파트,서울특별시 중랑구 신내로7나길 24,주차장,14607.0,127.0928,37.601357
1483,SM해그린아파트,서울특별시 중랑구 공릉로2나길 32-12,주차장,2229.0,127.079884,37.613345
1484,금호어울림아파트,서울특별시 중랑구 공릉로2길 39,주차장,6331.0,127.079935,37.612895
1485,세방아파트,서울특별시 중랑구 숙선옹주로9길 25,주차장,3659.0,127.083612,37.615805
1486,구민체육센터,서울특별시 중랑구 신내로15길 189,공공시설,2279.0,127.087476,37.615172
1487,브라운스톤아파트,서울특별시 중랑구 공릉로18길 59,주차장,23959.0,127.081432,37.618666
1488,용마금호어울림아파트,서울특별시 중랑구 용마산로 290,주차장,8625.0,127.091377,37.577737
1489,용마동아아파트,서울특별시 중랑구 용마산로62길 43,주차장,597.0,127.094612,37.578439
1490,면목금호어울림아파트(지하주차장),서울특별시 중랑구 용마산로 271,주차장,6233.0,127.08965,37.577367
1491,태능에셈빌아파트(지하주차장),서울특별시 중랑구 동일로129길 35,주차장,8633.0,127.077505,37.599223
1492,묵동자이아파트 1단지,서울특별시 중랑구 숙선옹주로 6-9,주차장,6601.0,127.077889,37.614819
1493,묵동자이아파트 2단지,서울특별시 중랑구 동일로 932,주차장,26661.0,127.077503,37.613839
1494,공감대아파트,서울특별시 중랑구 공릉로 32,주차장,4912.0,127.078347,37.613631
1495,해오름아파트,서울특별시 중랑구 공릉로4길 4,주차장,955.0,127.078166,37.612926
1496,웨딩그룹 위더스,서울특별시 중랑구 동일로 922,주차장,5236.0,127.077607,37.612914
1497,서울의료원,서울특별시 중랑구 신내로 156,주차장,45542.0,127.099187,37.613036
1498,동원베네스트아파트,서울특별시 중랑구 사가정로41길 59,주차장,2839.0,127.083848,37.584078
1499,두산아파트(1차),서울특별시 중랑구 사가정로41길 9,주차장,2794.0,127.083982,37.581652
1500,두원아파트,서울특별시 중랑구 동일로 483,주차장,3243.0,127.079739,37.573563
1501,건영2차아파트(지하주차장)(신내2동),서울특별시 중랑구 신내로7길 20,주차장,4240.0,127.096098,37.601391
1502,신아타운,서울특별시 중랑구 봉화산로 194,주차장,11252.0,127.094707,37.606408
1503,신내관상복합청사(지하주차장),서울특별시 중랑구 봉화산로 190,주차장,3120.0,127.094147,37.606228
1504,금성초등학교,서울특별시 중랑구 신내로21길 55,주차장,881.0,127.089858,37.615315
1505,성원아파트(면목7동),서울특별시 중랑구 용마산로 278,주차장,6182.0,127.090941,37.57741
1507,가나안교회(지하주차장),서울특별시 중랑구 망우로 239,주차장,775.0,127.078841,37.595209
1509,용마금호아파트,서울특별시 중랑구 용마산로 348,주차장,5435.0,127.094371,37.583528
1510,제일프라자,서울특별시 중랑구 동일로143길 19,주차장,4899.0,127.077603,37.605007
1511,동성12차아파트(모든 동의 지하),서울특별시 중랑구 신내로 128,주차장,14448.0,127.097811,37.608939
